"participant_id","fsm_type","test_condition","phase","trial_order","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id","trial_type","option_1","option_2","correctResponse","response","response_correct","option_1_p","option_2_p","duration","explanation_1_decrease","explanation_2_decrease","response_time_lessThan1000ms","response_time_tooQuick"
2,"hard","explanation","test",48,NA,NA,NA,NA,3,"b",2,"b",0,1983.45299998808,0,"hard_e_vis_3b2b0","visible",NA,NA,"2","2",TRUE,NA,NA,NA,0,0.24,0,0
2,"hard","explanation","test",49,NA,NA,NA,NA,1,"b",3,"a",2,1856.41200001194,0,"hard_e_vis_1b3a2","visible",NA,NA,"1","1",TRUE,NA,NA,NA,0.24,0,0,0
2,"hard","explanation","test",50,NA,NA,NA,NA,2,"a",NA,"b",1,5087.48800002382,0,"hard_e_hid_2ab1","hidden",NA,NA,"2","2",TRUE,NA,NA,NA,0.24,0.6,0,0
2,"hard","explanation","test",51,NA,NA,NA,NA,1,"a",NA,"a",0,3437.70700002386,0,"hard_e_hid_1aa0","hidden",NA,NA,"2","1",FALSE,NA,NA,NA,-0.16,0.24,0,0
2,"hard","explanation","test",52,NA,NA,NA,NA,0,"a",3,"a",0,403.527000000002,0,"hard_e_vis_0a3a0","visible",NA,NA,"2","1",FALSE,NA,NA,NA,0,0.4,1,1
2,"hard","explanation","test",53,NA,NA,NA,NA,3,"b",NA,"a",2,923.213000011921,0,"hard_e_hid_3ba2","hidden",NA,NA,"2","1",FALSE,NA,NA,NA,0.24,0.6,1,1
2,"hard","explanation","test",54,NA,NA,NA,NA,3,"b",NA,"b",3,415.006999976176,0,"hard_e_hid_3bb3","hidden",NA,NA,"2","2",TRUE,NA,NA,NA,-0.24,0.16,1,1
2,"hard","explanation","test",55,NA,NA,NA,NA,2,"b",1,"b",1,1209.1929999881,0,"hard_e_vis_2b1b1","visible",NA,NA,"1","1",TRUE,NA,NA,NA,0.36,0,0,0
2,"hard","explanation","test",56,NA,NA,NA,NA,2,"b",NA,"a",1,3349.72899999999,0,"hard_e_hid_2ba1","hidden",NA,NA,"1","2",FALSE,NA,NA,NA,0.36,0,0,0
2,"hard","explanation","test",57,NA,NA,NA,NA,3,"b",2,"a",2,729.27600002382,0,"hard_e_vis_3b2a2","visible",NA,NA,"2","1",FALSE,NA,NA,NA,0,0.6,1,1
2,"hard","explanation","test",58,NA,NA,NA,NA,1,"a",0,"a",3,337.831999988062,0,"hard_e_vis_1a0a3","visible",NA,NA,"1","2",FALSE,NA,NA,NA,0.4,0,1,1
2,"hard","explanation","test",59,NA,NA,NA,NA,3,"a",2,"b",1,1336.7899999881,0,"hard_e_vis_3a2b1","visible",NA,NA,"2","1",FALSE,NA,NA,NA,0,0.36,0,0
2,"hard","explanation","test",60,NA,NA,NA,NA,2,"b",1,"a",1,664.940999976185,0,"hard_e_vis_2b1a1","visible",NA,NA,"1","2",FALSE,NA,NA,NA,0.36,0,1,1
2,"hard","explanation","test",61,NA,NA,NA,NA,2,"b",NA,"b",3,2339.81900001189,0,"hard_e_hid_2bb3","hidden",NA,NA,"1","2",FALSE,NA,NA,NA,0.64,0.24,0,0
2,"hard","explanation","test",62,NA,NA,NA,NA,0,"a",NA,"a",0,1647.53499999997,0,"hard_e_hid_0aa0","hidden",NA,NA,"2","2",TRUE,NA,NA,NA,0,0.4,0,0
2,"hard","explanation","test",63,NA,NA,NA,NA,3,"a",0,"b",3,1148.42099999997,0,"hard_e_vis_3a0b3","visible",NA,NA,"1","1",TRUE,NA,NA,NA,0.4,0,0,0
2,"hard","explanation","test",64,NA,NA,NA,NA,1,"b",NA,"a",2,1157.74300002382,0,"hard_e_hid_1ba2","hidden",NA,NA,"1","2",FALSE,NA,NA,NA,0.24,0,0,0
2,"hard","explanation","test",65,NA,NA,NA,NA,0,"b",3,"b",3,328.175000023853,0,"hard_e_vis_0b3b3","visible",NA,NA,"2","1",FALSE,NA,NA,NA,0,0.4,1,1
3,"hard","control","learning",2,"trial_1_seq",3,"b",2,NA,NA,3,"b",2,5774.80599998808,0,"3b2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,"hard","control","learning",3,"trial_2_seq",2,"b",0,3,"b",2,"b",0,2982.33600000001,0,"2b0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,"hard","control","learning",4,"learning_control_trial_seq",0,"b",3,2,"b",0,"b",3,4619.65799999403,0,"0b3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,"hard","control","learning",5,"learning_control_trial_seq",3,"a",2,0,"b",3,"a",2,4187.56599999403,0,"3a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,"hard","control","learning",6,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,1487.42899999404,0,"2a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
