"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
17,1,"a",1,1,0.5
17,1,"a",2,0,0
17,1,"a",3,0,0
17,1,"b",0,0,0
17,1,"b",1,3,0.75
17,1,"b",2,0,0
17,1,"b",3,1,0.25
17,2,"a",0,0,0
17,2,"a",1,0,0
17,2,"a",2,4,1
17,2,"a",3,0,0
17,2,"b",0,4,0.444444444444444
17,2,"b",1,5,0.555555555555556
17,2,"b",2,0,0
17,2,"b",3,0,0
17,3,"a",0,4,0.4
17,3,"a",1,0,0
17,3,"a",2,6,0.6
17,3,"a",3,0,0
17,3,"b",0,0,0
17,3,"b",1,0,0
17,3,"b",2,3,0.6
17,3,"b",3,2,0.4
18,0,"a",0,0,0
18,0,"a",1,0,0
18,0,"a",2,0,0
18,0,"a",3,6,1
18,0,"b",0,0,0
18,0,"b",1,0,0
18,0,"b",2,0,0
18,0,"b",3,6,1
18,1,"a",0,0,0
18,1,"a",1,1,1
18,1,"a",2,0,0
18,1,"a",3,0,0
18,1,"b",0,0,0
18,1,"b",1,0,0
18,1,"b",2,0,0
18,1,"b",3,0,0
18,2,"a",0,0,0
18,2,"a",1,0,0
18,2,"a",2,9,1
18,2,"a",3,0,0
18,2,"b",0,4,0.571428571428571
18,2,"b",1,3,0.428571428571429
18,2,"b",2,0,0
18,2,"b",3,0,0
18,3,"a",0,4,0.444444444444444
18,3,"a",1,0,0
18,3,"a",2,5,0.555555555555556
18,3,"a",3,0,0
18,3,"b",0,0,0
18,3,"b",1,0,0
18,3,"b",2,4,0.666666666666667
18,3,"b",3,2,0.333333333333333
19,0,"a",0,0,0
19,0,"a",1,0,0
19,0,"a",2,6,1
19,0,"a",3,0,0
19,0,"b",0,0,0
19,0,"b",1,0,0
19,0,"b",2,4,1
19,0,"b",3,0,0
19,1,"a",0,3,1
19,1,"a",1,0,0
19,1,"a",2,0,0
19,1,"a",3,0,0
19,1,"b",0,0,0
19,1,"b",1,0,0
19,1,"b",2,0,0
19,1,"b",3,0,0
19,2,"a",0,6,0.6
19,2,"a",1,0,0
19,2,"a",2,0,0
19,2,"a",3,4,0.4
19,2,"b",0,0,0
19,2,"b",1,0,0
19,2,"b",2,16,1
19,2,"b",3,0,0
19,3,"a",0,1,0.25
19,3,"a",1,3,0.75
19,3,"a",2,0,0
19,3,"a",3,0,0
19,3,"b",0,0,0
19,3,"b",1,0,0
19,3,"b",2,0,0
19,3,"b",3,1,1
20,0,"a",0,0,0
20,0,"a",1,0,0
20,0,"a",2,4,1
20,0,"a",3,0,0
20,0,"b",0,0,0
20,0,"b",1,0,0
20,0,"b",2,4,1
20,0,"b",3,0,0
20,1,"a",0,3,1
20,1,"a",1,0,0
20,1,"a",2,0,0
20,1,"a",3,0,0
20,1,"b",0,0,0
20,1,"b",1,0,0
20,1,"b",2,0,0
20,1,"b",3,0,0
